"country"	"country_code"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"	"2010-2015"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"
"World"	900	4.9176	4.8084	4.9118	4.7807	4.3216	3.8345	3.6118	3.4253	3.0751	2.816	2.671	2.5648	2.4856	2.3974	2.3024	2.2147	2.1462	2.1032	2.064	2.0235
"More developed regions"	901	2.8169	2.7816	2.6671	2.3691	2.1731	1.9433	1.8592	1.8158	1.6689	1.5615	1.5795	1.637	1.6487	1.6565	1.6717	1.7012	1.739	1.7683	1.7883	1.8042
"Less developed regions"	902	5.997	5.7965	5.942	5.8146	5.1768	4.5254	4.1875	3.8864	3.4271	3.0965	2.8908	2.732	2.6198	2.5036	2.3858	2.2799	2.1964	2.142	2.0941	2.0468
"Least developed countries"	941	6.6229	6.6635	6.7295	6.7569	6.7386	6.6071	6.4285	6.0582	5.6395	5.2114	4.7775	4.3906	4.0798	3.7769	3.4814	3.2024	2.9538	2.744	2.5666	2.4113
"Other less developed countries"	934	5.9179	5.6805	5.8372	5.6938	4.97	4.2483	3.8943	3.605	3.1334	2.8027	2.6112	2.4635	2.3594	2.2533	2.1483	2.0592	1.9984	1.972	1.9507	1.9279
"Less developed regions, excluding China"	948	6.076	6.1525	6.1393	5.9655	5.6626	5.264	4.8753	4.4381	4.0098	3.5975	3.3041	3.0537	2.8578	2.6753	2.515	2.3744	2.2648	2.1944	2.1359	2.0807
"Sub-Saharan Africa"	947	6.5681	6.6189	6.6851	6.6983	6.7331	6.7232	6.615	6.417	6.0842	5.7224	5.4097	5.0752	4.6568	4.1983	3.7707	3.3986	3.0902	2.84	2.6341	2.4623
"Africa"	903	6.6299	6.6997	6.7467	6.7187	6.6866	6.6078	6.4414	6.1373	5.6476	5.2258	4.9081	4.6141	4.2678	3.8931	3.5416	3.2277	2.9594	2.7382	2.5566	2.4044
"Eastern Africa"	910	7.0254	7.0166	7.0801	7.0961	7.066	6.9988	6.8383	6.6661	6.305	5.9264	5.6017	5.2982	4.8472	4.3472	3.8796	3.4672	3.1212	2.8425	2.6186	2.4354
"Burundi"	108	6.801	6.801	6.801	6.801	6.801	6.801	6.8	6.7872	6.4528	6.081	5.405	4.655	4.0339	3.5847	3.218	2.9323	2.71	2.5334	2.3894	2.269
"Comoros"	174	6	6.601	6.909	7.05	7.05	7.05	7.05	6	5.08	4.5	4.2	3.998	3.599	3.229	2.941	2.717	2.539	2.394	2.273	2.17
"Djibouti"	262	7.8	7.8	7.8	7.6	7.2	6.8	6.6	6.4	5.85	5.112	4.517	3.949	3.48	3.125	2.859	2.654	2.489	2.354	2.24	2.142
"Eritrea"	232	6.965	6.965	6.815	6.699	6.52	6.5	6.5	6.31	6.082	5.659	5.188	4.683	4.173	3.705	3.313	3.006	2.768	2.58	2.428	2.301
"Ethiopia"	231	7.1696	6.9023	6.8972	6.8691	6.8088	6.7644	6.9347	7.0573	6.9988	6.4835	5.866	5.3813	4.8	4.2142	3.688	3.2533	2.904	2.6214	2.3882	2.1916
"Kenya"	404	7.481	7.785	8.065	8.11	7.99	7.64	7.216	6.538	5.566	5.072	5	4.959	4.539	4.036	3.587	3.22	2.933	2.711	2.534	2.39
"Madagascar"	450	7.3	7.3	7.3	7.3	7.3	7	6.1	6.3	6.139	5.801	5.278	4.776	4.264	3.785	3.378	3.056	2.807	2.611	2.453	2.323
"Malawi"	454	6.78	6.84	7	7.2	7.4	7.6	7.479	7.157	6.763	6.44	6.032	5.593	5.116	4.608	4.101	3.642	3.264	2.968	2.738	2.556
"Mauritius"	480	6.269	5.971	5.718	4.241	3.247	3.063	2.45	2.171	2.29	2.05	1.902	1.776	1.85	1.85	1.85	1.85	1.85	1.85	1.85	1.85
"Mayotte"	175	8	8	8	8	8	7	6.5	6	5.5	5	4	3.154	2.73	2.478	2.268	2.089	1.933	1.851	1.85	1.85
"Mozambique"	508	6.6	6.6	6.6	6.6	6.575	6.525	6.444	6.331	6.119	5.847	5.519	5.113	4.605	4.099	3.64	3.262	2.966	2.737	2.555	2.407
"Reunion"	638	5.65	5.85	5.65	4.82	3.93	3.28	2.9	2.54	2.43	2.339	2.459	2.439	2.334	2.223	2.127	2.042	1.967	1.9	1.853	1.85
"Rwanda"	646	7.8	8	8.1	8.2	8.2	8.25	8.25	7.55	6.1986	5.9424	5.81	5.43	5.0523	4.5423	4.0394	3.5894	3.2217	2.9351	2.7122	2.5352
"Somalia"	706	7.25	7.25	7.25	7.25	7.1	7	6.7	6.7	6.5	6.5	6.5	6.4	6.1651	5.7464	5.2832	4.7832	4.2714	3.7912	3.3833	3.0604
"Uganda"	800	6.9	6.95	7.05	7.12	7.1	7.1	7.1	7.1	7.063	6.945	6.703	6.381	5.912	5.382	4.801	4.215	3.689	3.254	2.905	2.622
"United Republic of Tanzania"	834	6.74	6.801	6.8	6.79	6.75	6.73	6.55	6.36	6.05	5.75	5.66	5.579	5.2956	4.7962	4.2843	3.8027	3.3926	3.0677	2.8157	2.6179
"Zambia"	894	6.75	6.9	7.15	7.4	7.425	7.375	6.95	6.658	6.3	6.2	6.1	5.874	5.343	4.758	4.169	3.654	3.255	2.957	2.73	2.551
"Zimbabwe"	716	6.8	7	7.3	7.4	7.4	7.3	6.74	5.656	4.773	4.054	3.739	3.471	3.118	2.854	2.649	2.486	2.351	2.238	2.14	2.054
"Middle Africa"	911	6.0316	6.0883	6.2081	6.3129	6.4117	6.534	6.6602	6.7156	6.6885	6.4829	6.2172	5.675	5.1763	4.6615	4.1474	3.6765	3.277	2.954	2.6942	2.4816
"Angola"	24	7	7.2	7.4	7.4	7.2	7.2	7.2	7.2	7.102	6.924	6.627	5.785	5.326	4.828	4.316	3.831	3.416	3.086	2.83	2.629
"Cameroon"	120	5.68	5.68	5.9	6.1	6.3	6.4	6.4	6.1	5.7	5.1	4.917	4.667	4.204	3.731	3.335	3.023	2.781	2.59	2.436	2.308
"Central African Republic"	140	5.516	5.75	5.9	5.95	5.95	5.95	5.95	5.9	5.65	5.54	5.3	4.8465	4.3341	3.8474	3.4291	3.0961	2.8378	2.6355	2.473	2.3393
"Chad"	148	6.1	6.2	6.3	6.4	6.6	6.737	6.751	6.698	6.647	6.619	6.542	6.195	5.779	5.32	4.822	4.309	3.825	3.411	3.082	2.827
"Congo"	178	5.684	5.786	5.989	6.192	6.293	6.293	5.994	5.547	5.207	4.8672	4.783	4.41	3.916	3.486	3.14	2.872	2.663	2.495	2.358	2.242
"Dem. Republic of the Congo"	180	5.98	5.98	6.04	6.15	6.289	6.462	6.72	6.975	7.136	7.036	6.703	6.074	5.515	4.944	4.353	3.808	3.35	2.982	2.685	2.441
"Equatorial Guinea"	226	5.501	5.499	5.53	5.658	5.68	5.68	5.79	5.89	5.89	5.868	5.638	5.358	5.078	4.682	4.172	3.704	3.313	3.006	2.767	2.579
"Gabon"	266	4	4	4.25	4.5	4.9	5.1	5.2	5.15	5.1	4.366	3.78	3.35	3.028	2.785	2.595	2.442	2.314	2.206	2.112	2.029
"Sao Tome and Principe"	678	6.2	6.2	6.3	6.4	6.515	6.495	6.237	5.659	5.163	4.796	4.341	3.853	3.434	3.1	2.841	2.638	2.475	2.341	2.228	2.131
"Northern Africa"	912	6.8399	6.9573	6.9331	6.7914	6.5435	6.2207	5.8398	5.1681	4.1794	3.5553	3.1636	2.909	2.6991	2.5274	2.3946	2.278	2.1707	2.0807	2.0181	1.9698
"Algeria"	12	7.278	7.278	7.38	7.38	7.38	7.175	6.49	5.29	4.131	2.885	2.5263	2.3828	2.2644	2.1628	2.0741	1.9956	1.9253	1.8649	1.85	1.85
"Egypt"	818	6.37	6.65	6.55	6.2	5.7	5.66	5.52	5.2	3.908	3.5	3.1602	2.8863	2.675	2.5069	2.3688	2.2525	2.1525	2.065	1.9875	1.918
"Libyan Arab Jamahiriya"	434	6.868	6.97	7.175	7.483	7.585	7.38	7.175	5.65	4.1	3.411	3.03	2.724	2.474	2.264	2.085	1.93	1.851	1.85	1.85	1.85
"Morocco"	504	7.18	7.18	7.15	7.09	6.89	5.9	5.4	4.447	3.66	2.968	2.522	2.376	2.259	2.158	2.07	1.992	1.922	1.863	1.85	1.85
