"country"	"country_code"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"	"2010-2015"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"
"Sudan"	736	6.65	6.65	6.6	6.6	6.6	6.519	6.338	6.083	5.809	5.414	4.82	4.228	3.702	3.291	2.984	2.751	2.568	2.42	2.296	2.19
"Tunisia"	788	6.93	7.04	7.25	6.89	6.21	5.69	4.92	4.14	3.125	2.317	1.968	1.86	1.823	1.798	1.843	1.85	1.85	1.85	1.85	1.85
"Western Sahara"	732	6.6	6.6	6.6	6.6	6.6	6.1	5.6	4.9	4.156	3.53	3.007	2.698	2.526	2.384	2.266	2.164	2.075	1.996	1.926	1.865
"Southern Africa"	913	6.2245	6.24	6.1982	5.7711	5.5721	5.1429	4.7134	4.1611	3.5039	3.0937	2.9016	2.6375	2.4907	2.3577	2.2445	2.1463	2.0579	1.9813	1.9133	1.8769
"Botswana"	72	6.5	6.575	6.65	6.7	6.546	6.366	5.965	5.109	4.321	3.7	3.18	2.896	2.683	2.513	2.374	2.257	2.156	2.068	1.991	1.921
"Lesotho"	426	5.84	5.861	5.811	5.8	5.8	5.686	5.459	5.135	4.701	4.373	3.793	3.373	3.052	2.804	2.608	2.451	2.321	2.211	2.116	2.033
"Namibia"	516	6	6.1	6.2	6.3	6.6	6.6	6.2	5.547	4.912	4.292	3.808	3.401	3.066	2.814	2.618	2.461	2.33	2.219	2.124	2.04
"South Africa"	710	6.5	6.5	6.3	5.7	5.47	5	4.556	4	3.343	2.954	2.802	2.55	2.419	2.295	2.189	2.098	2.016	1.944	1.879	1.85
"Swaziland"	748	6.7	6.7	6.75	6.849	6.866	6.733	6.537	6.132	5.295	4.491	4.01	3.574	3.195	2.912	2.695	2.523	2.382	2.264	2.163	2.074
"Western Africa"	914	6.4206	6.5355	6.6248	6.7086	6.8441	6.9508	6.9014	6.6792	6.3354	5.9361	5.5866	5.2691	4.8168	4.3066	3.8497	3.4741	3.1783	2.9409	2.7441	2.5771
"Benin"	204	5.6597	5.9563	6.2669	6.5192	6.7342	6.9261	7.0087	6.8818	6.5629	6.1566	5.7901	5.4846	5.0897	4.5809	4.0758	3.6204	3.2463	2.9542	2.7272	2.5472
"Burkina Faso"	854	6.1035	6.243	6.35	6.5627	6.7	7.0182	7.0553	6.9445	6.7117	6.3987	6.1372	5.9446	5.5458	5.0644	4.5548	4.0512	3.5994	3.2296	2.9413	2.717
"Cape Verde"	132	6.598	6.902	7.004	7.004	7.004	6.75	6.1	5.6654	4.8959	4.0937	3.3855	2.7638	2.5233	2.381	2.262	2.1604	2.0721	1.9943	1.9249	1.8652
"Cote d'Ivoire"	384	6.7739	7.1544	7.5325	7.8254	7.9261	7.8123	7.3125	6.61	5.9198	5.3074	5.0485	4.6453	4.1867	3.7164	3.3229	3.0135	2.7735	2.5843	2.4313	2.3044
"Gambia"	270	5.404	5.5398	5.7436	5.9996	6.2475	6.4066	6.3385	6.1526	6.0375	5.8039	5.4551	5.0979	4.6393	4.1316	3.6684	3.2844	2.9837	2.7503	2.5657	2.416
"Ghana"	288	6.4257	6.6391	6.8436	6.9514	6.8975	6.6878	6.3494	5.8817	5.3426	4.8685	4.5378	4.3081	3.996	3.649	3.361	3.1	2.895	2.731	2.596	2.482
"Guinea"	324	6.4753	6.617	6.7118	6.7853	6.8487	6.9117	6.9473	6.8612	6.5811	6.1876	5.7997	5.4514	5.0108	4.4999	3.9996	3.5557	3.1951	2.9146	2.6961	2.5222
"Guinea-Bissau"	624	7.4092	5.8746	5.8746	4.7815	7.3433	6.1069	5.6848	5.8276	5.9039	5.9046	5.8326	5.7271	5.433	5.01	4.548	4.065	3.652	3.325	3.072	2.873
"Liberia"	430	6.1789	7.1943	7.4288	7.1871	6.4179	6.7698	6.6451	6.6001	6.3776	6.0757	5.6145	5.1447	4.6877	4.1782	3.709	3.3169	3.0089	2.7699	2.5814	2.4289
"Mali"	466	6.2321	6.6378	6.6574	6.7705	6.5916	6.5535	6.5604	6.5214	6.32	5.9728	5.6911	5.4856	5.172	4.737	4.285	3.835	3.469	3.183	2.96	2.784
"Mauritania"	478	6.3378	6.7053	6.7863	6.7896	6.7498	6.5726	6.2561	6.0145	5.6838	5.2883	4.8983	4.5196	4.0668	3.6127	3.2402	2.9494	2.7234	2.5442	2.3983	2.2766
"Niger"	562	6.8604	7.0481	7.2878	7.5258	7.7442	7.9992	8.0531	7.9432	7.7887	7.6066	7.3789	7.1466	6.8642	6.5227	6.1442	5.7232	5.2578	4.7564	4.2451	3.7678
"Nigeria"	566	6.5481	6.5481	6.5481	6.5481	6.7172	6.8912	6.9263	6.7574	6.4381	6.0508	5.6726	5.3186	4.7895	4.1986	3.6786	3.2736	2.9709	2.7409	2.5599	2.4128
"Senegal"	686	5.9674	6.4623	6.7452	7.2455	7.498	7.5425	7.2929	6.9089	6.502	5.8929	5.353	5.0405	4.5017	3.9355	3.4694	3.1172	2.8529	2.6488	2.4857	2.3511
"Sierra Leone"	694	5.52	5.5962	5.6971	5.7701	5.8408	5.8432	5.7075	5.5687	5.4957	5.434	5.3318	5.2195	4.969	4.532	4.096	3.678	3.345	3.087	2.885	2.722
"Togo"	768	6.3344	6.4217	6.6518	6.937	7.1986	7.2768	7.0567	6.5835	5.9926	5.3844	4.8329	4.3038	3.867	3.4453	3.1086	2.8476	2.6432	2.4793	2.3445	2.231
"Asia"	935	5.729	5.3983	5.5506	5.4644	4.7604	4.0257	3.7189	3.4716	3.0136	2.6896	2.4983	2.3508	2.2645	2.1804	2.0926	2.0134	1.9574	1.9384	1.922	1.9033
"Eastern Asia"	906	5.4167	4.6555	5.035	5.0128	3.7932	2.6807	2.5313	2.5234	1.9736	1.7625	1.7099	1.7202	1.7529	1.7903	1.7979	1.8053	1.8181	1.8279	1.8307	1.8293
"China"	156	6.107	5.476	5.607	5.937	4.765	2.926	2.614	2.629	2.012	1.804	1.765	1.765	1.79	1.837	1.85	1.85	1.85	1.85	1.85	1.85
"China, Hong Kong SAR"	344	4.44	4.72	5.31	4.02	2.89	2.32	1.8	1.31	1.288	1.08	0.977	1.02	1.009	1.059	1.109	1.159	1.209	1.259	1.309	1.359
"China, Macao SAR"	446	5.03	4.9	5.1	3	3.2	2	2.5	2.05	1.55	1.116	0.844	0.953	1.005	1.055	1.105	1.155	1.205	1.255	1.305	1.355
"Dem. People's Rep. of Korea"	408	2.7	3.8	3.41	4.09	3.72	2.58	2.93	2.45	2.35	2.094	1.917	1.863	1.85	1.85	1.85	1.85	1.85	1.85	1.85	1.85
"Japan"	392	2.999	2.155	1.986	2.02	2.134	1.831	1.752	1.664	1.476	1.369	1.298	1.265	1.27	1.295	1.345	1.395	1.445	1.495	1.545	1.595
"Mongolia"	496	6	6	6	7.325	7.333	6.648	5.738	4.834	3.484	2.402	2.061	2.021	1.921	1.85	1.85	1.85	1.85	1.85	1.85	1.85
"Republic of Korea"	410	5.05	6.332	5.63	4.708	4.281	2.919	2.234	1.601	1.696	1.514	1.219	1.216	1.26	1.285	1.335	1.385	1.435	1.485	1.535	1.585
"South-Central Asia"	921	6.0373	6.0418	6.0018	5.8555	5.565	5.2457	4.8827	4.4819	4.0441	3.5408	3.1664	2.8172	2.5996	2.4153	2.2507	2.104	2.0013	1.9732	1.9543	1.9354
"Afghanistan"	4	7.7	7.7	7.7	7.7	7.7	7.7	7.8	7.9	8	8	7.3494	6.6336	6.2536	5.8449	5.3915	4.8984	4.386	3.8945	3.4679	3.1263
"Bangladesh"	50	6.7	6.76	6.85	6.85	6.85	6.6295	5.9245	4.8945	3.9649	3.3037	2.8015	2.3577	2.1962	2.1034	2.022	1.9497	1.8849	1.8505	1.85	1.85
"Bhutan"	64	6.67	6.67	6.67	6.67	6.67	6.67	6.453	6.263	5.405	4.234	3.379	2.677	2.399	2.201	2.031	1.888	1.85	1.85	1.85	1.85
"India"	356	5.9136	5.8961	5.8216	5.6395	5.264	4.8888	4.4975	4.15	3.8648	3.4551	3.1132	2.7632	2.5188	2.3022	2.1181	1.9588	1.8552	1.85	1.85	1.85
"Iran (Islamic Republic of)"	364	7	7	7	6.8	6.4	6.5	6.63	5.62	3.95	2.5	2.12	1.83	1.74	1.79	1.83	1.85	1.85	1.85	1.85	1.85
"Kazakhstan"	398	4.406	4.555	4.431	3.671	3.459	3.06	2.957	3.033	2.55	2	2.006	2.31	2.201	2.108	2.026	1.953	1.888	1.851	1.85	1.85
"Kyrgyzstan"	417	4.509	4.834	5.39	5.011	4.726	4.054	4.101	4.019	3.612	2.986	2.5	2.562	2.393	2.196	2.026	1.885	1.85	1.85	1.85	1.85
"Maldives"	462	7	7	7	7	7	7	6.8	6.6	5.2632	3.4474	2.3816	2.063	1.936	1.873	1.85	1.85	1.85	1.85	1.85	1.85
"Nepal"	524	6.1529	6.1529	6.152	6.1297	6.0945	6.0194	5.7465	5.3578	4.9333	4.3642	3.6124	2.9355	2.6625	2.4967	2.3604	2.2453	2.1462	2.0595	1.9826	1.9136
"Pakistan"	586	6.6	6.6	6.6	6.85	7	6.8	6.6	6.4494	5.6701	4.9772	4.4369	4.0024	3.584	3.2027	2.9176	2.6995	2.5267	2.3853	2.2665	2.1646
"Sri Lanka"	144	5.8	5.8	5.2	4.7	4	3.6064	3.1894	2.6789	2.45	2.16	2.3302	2.333	2.2246	2.128	2.0437	1.9691	1.9023	1.854	1.85	1.85
"Tajikistan"	762	5.995	6.199	6.302	6.719	6.834	5.897	5.543	5.406	4.877	4.29	3.805	3.45	3.128	2.804	2.539	2.319	2.133	1.972	1.859	1.85
"Turkmenistan"	795	5.995	6.015	6.752	6.343	6.187	5.324	4.79	4.55	4.03	3.03	2.755	2.499	2.285	2.104	1.946	1.852	1.85	1.85	1.85	1.85
"Uzbekistan"	860	5.97	6.5	6.8	6.6	6.3	5.584	4.726	4.4	3.88	3.05	2.55	2.292	2.187	2.095	2.014	1.942	1.877	1.85	1.85	1.85
"South-Eastern Asia"	920	5.9778	6.1761	6.208	6.0298	5.5666	4.8377	4.2165	3.6276	3.1294	2.7	2.4797	2.3197	2.1823	2.0706	2.0168	1.9783	1.9494	1.9255	1.9055	1.886
"Brunei Darussalam"	96	6.999	6.999	6.72	5.941	5.401	4.4	3.8	3.37	3.09	2.7	2.277	2.108	1.95	1.853	1.85	1.85	1.85	1.85	1.85	1.85
"Cambodia"	116	6.294	6.294	6.291	6.216	5.535	4.7	6.6	6	5.549	4.45	3.406	2.962	2.7	2.527	2.385	2.267	2.165	2.076	1.997	1.927
"Indonesia"	360	5.486	5.672	5.62	5.568	5.3	4.73	4.109	3.4	2.9	2.55	2.381	2.186	2.018	1.88	1.85	1.85	1.85	1.85	1.85	1.85
"Lao People's Dem. Republic"	418	6.1	6	6	6	6	6	6.25	6.2	5.8	5.247	3.9345	3.5432	3.1853	2.907	2.6901	2.5173	2.3761	2.2578	2.1568	2.0689
"Malaysia"	458	6.833	6.944	6.724	5.941	5.15	4.161	4.242	3.996	3.47	3.1	2.854	2.58	2.354	2.162	1.997	1.869	1.85	1.85	1.85	1.85
"Myanmar"	104	6	6	6.1	6.1	5.9	5.1	4.6	3.8	3.1	2.65	2.447	2.317	2.208	2.113	2.031	1.958	1.892	1.851	1.85	1.85
"Philippines"	608	7.29	7.13	6.85	6.5	6	5.5	4.95	4.55	4.143	3.725	3.339	3.11	2.847	2.644	2.482	2.348	2.235	2.137	2.051	1.975
"Singapore"	702	6.4	5.99	4.93	3.46	2.62	1.87	1.69	1.71	1.76	1.57	1.358	1.268	1.285	1.335	1.385	1.435	1.485	1.535	1.585	1.635
"Thailand"	764	6.345	6.345	6.344	5.985	5.052	3.915	2.945	2.3	2.053	1.859	1.81	1.8097	1.85	1.85	1.85	1.85	1.85	1.85	1.85	1.85
"Timor-Leste"	626	6.441	6.353	6.371	6.156	6.15	4.305	5.39	5.209	5.685	7.005	6.955	6.525	6.002	5.486	4.912	4.317	3.777	3.348	3.026	2.784
"Viet Nam"	704	5.748	6.548	7.248	7.245	6.697	5.888	4.495	4.023	3.3	2.5	2.25	2.08	1.945	1.852	1.85	1.85	1.85	1.85	1.85	1.85
"Western Asia"	922	6.332	6.0753	6.0554	5.9492	5.6564	5.2756	4.9787	4.4632	4.0349	3.5967	3.1791	2.9523	2.7617	2.5851	2.4261	2.2941	2.1877	2.0953	2.0336	1.9823
"Armenia"	51	4.494	4.494	4.453	3.447	3.037	2.503	2.376	2.575	2.38	1.75	1.721	1.735	1.785	1.834	1.85	1.85	1.85	1.85	1.85	1.85
"Azerbaijan"	31	5.493	5.41	5.637	4.935	4.289	3.624	3.036	2.95	2.9	2.2	2	2.156	2.116	2.033	1.96	1.894	1.852	1.85	1.85	1.85
"Bahrain"	48	6.97	6.97	7.175	6.97	5.945	5.228	4.633	4.08	3.362	2.76	2.506	2.292	2.109	1.951	1.853	1.85	1.85	1.85	1.85	1.85
"Cyprus"	196	3.705	3.498	3.436	2.795	2.49	2.287	2.449	2.428	2.36	1.919	1.609	1.52	1.545	1.595	1.645	1.695	1.745	1.795	1.841	1.85
"Georgia"	268	3	2.909	2.979	2.611	2.601	2.39	2.269	2.263	2.05	1.72	1.58	1.58	1.605	1.655	1.705	1.755	1.805	1.846	1.85	1.85
"Iraq"	368	7.3	6.202	6.598	7.4	7.15	6.8	6.35	6.15	5.8	5.4	4.63	4.107	3.657	3.257	2.959	2.731	2.552	2.407	2.285	2.18
"Israel"	376	4.161	3.893	3.852	3.79	3.77	3.409	3.125	3.051	2.933	2.942	2.904	2.805	2.616	2.457	2.326	2.216	2.12	2.037	1.963	1.897
"Jordan"	400	7.38	7.38	7.995	7.995	7.79	7.38	6.765	5.87	5.14	4.315	3.529	3.13	2.805	2.54	2.32	2.133	1.972	1.859	1.85	1.85
"Kuwait"	414	7.207	7.207	7.308	7.41	6.902	5.887	4.872	3.938	3.2	2.614	2.296	2.184	2.093	2.012	1.941	1.877	1.85	1.85	1.85	1.85
"Lebanon"	422	5.74	5.72	5.689	5.336	4.78	4.311	3.895	3.313	3	2.695	2.091	1.862	1.85	1.85	1.85	1.85	1.85	1.85	1.85	1.85
"Occupied Palestinian Territory"	275	7.38	7.38	7.995	7.995	7.73	7.387	7	6.43	6.46	6.03	5.631	5.093	4.497	3.931	3.466	3.115	2.851	2.647	2.484	2.35
"Oman"	512	7.2	7.2	7.2	7.2	7.2	7.2	7.2	6.8	6.3	5.1	3.8	3.089	2.84	2.639	2.478	2.344	2.232	2.134	2.049	1.973
"Qatar"	634	6.97	6.97	6.97	6.97	6.765	6.109	5.453	4.7	4.1	3.377	2.919	2.43	2.268	2.165	2.076	1.998	1.928	1.867	1.85	1.85
"Saudi Arabia"	682	7.175	7.175	7.257	7.257	7.298	7.278	7.015	6.217	5.446	4.621	3.81	3.165	2.829	2.56	2.337	2.148	1.984	1.863	1.85	1.85
"Syrian Arab Republic"	760	7.3	7.45	7.6	7.6	7.518	7.471	7.181	6.238	4.856	4.017	3.641	3.285	2.929	2.642	2.405	2.206	2.035	1.891	1.85	1.85
"Turkey"	792	6.93	6.57	6.054	5.674	5.461	4.715	3.985	3.276	2.904	2.574	2.227	2.131	2.0447	1.9694	1.9017	1.8536	1.85	1.85	1.85	1.85
"United Arab Emirates"	784	6.97	6.97	6.868	6.765	6.355	5.658	5.228	4.825	3.875	2.966	2.486	1.949	1.875	1.85	1.85	1.85	1.85	1.85	1.85	1.85
"Yemen"	887	8.2	8.3	8.4	8.55	8.7	8.7	8.7	8.4	7.7	6.726	5.9	5.3	4.653	4.077	3.572	3.16	2.829	2.56	2.337	2.148
"Europe"	908	2.6485	2.6358	2.565	2.3536	2.1908	1.9976	1.8981	1.8173	1.5675	1.4203	1.4326	1.496	1.5308	1.5622	1.6023	1.6536	1.7042	1.7449	1.7734	1.7961
"Eastern Europe"	923	2.8155	2.7519	2.4479	2.1185	2.1435	2.0841	2.0897	2.1028	1.6191	1.2896	1.2634	1.3452	1.4265	1.4882	1.5381	1.5894	1.6421	1.6942	1.7448	1.7891
"Belarus"	112	2.61	2.73	2.69	2.38	2.25	2.09	2.088	2.045	1.677	1.308	1.2353	1.2793	1.287	1.312	1.362	1.412	1.462	1.512	1.562	1.612
"Bulgaria"	100	2.48	2.27	2.18	2.15	2.17	2.17	2.01	1.92	1.506	1.224	1.252	1.402	1.499	1.549	1.599	1.649	1.699	1.749	1.799	1.843
"Czech Republic"	203	2.69	2.35	2.221	1.927	2.185	2.31	1.999	1.92	1.654	1.172	1.187	1.407	1.524	1.574	1.624	1.674	1.724	1.774	1.824	1.85
"Hungary"	348	2.73	2.21	1.82	1.98	2.09	2.12	1.81	1.82	1.73	1.377	1.297	1.352	1.418	1.468	1.518	1.568	1.618	1.668	1.718	1.768
"Poland"	616	3.62	3.29	2.65	2.27	2.25	2.26	2.33	2.15	1.89	1.478	1.253	1.265	1.292	1.342	1.392	1.442	1.492	1.542	1.592	1.642
"Republic of Moldova"	498	3.5	3.44	3.15	2.66	2.56	2.44	2.55	2.64	2.111	1.7	1.5	1.5	1.525	1.575	1.625	1.675	1.725	1.775	1.825	1.85
"Romania"	642	2.87	2.62	2.04	2.96	2.62	2.53	2.25	2.28	1.5	1.347	1.292	1.32	1.345	1.395	1.445	1.495	1.545	1.595	1.645	1.695
"Russian Federation"	643	2.85	2.82	2.55	2.02	2.03	1.94	2.04	2.121	1.545	1.247	1.298	1.365	1.458	1.526	1.576	1.626	1.676	1.726	1.776	1.826
"Slovakia"	703	3.52	3.27	2.89	2.5	2.51	2.47	2.28	2.15	1.87	1.403	1.22	1.278	1.345	1.395	1.445	1.495	1.545	1.595	1.645	1.695
"Ukraine"	804	2.81	2.7	2.2	2.04	2.16	2	2.021	2.034	1.644	1.225	1.153	1.313	1.47	1.574	1.624	1.674	1.724	1.774	1.824	1.85
"Northern Europe"	924	2.3783	2.4921	2.74	2.5975	2.1954	1.8509	1.8727	1.8593	1.8064	1.6793	1.6865	1.8232	1.8309	1.8303	1.834	1.8388	1.8419	1.8441	1.8461	1.8481
"Channel Islands"	830	2.056	2.222	2.562	2.362	1.858	1.523	1.439	1.45	1.461	1.4	1.414	1.42	1.42	1.445	1.495	1.545	1.595	1.645	1.695	1.745
"Denmark"	208	2.551	2.549	2.586	2.272	1.965	1.683	1.43	1.544	1.748	1.756	1.76	1.843	1.85	1.85	1.85	1.85	1.85	1.85	1.85	1.85
"Estonia"	233	2.06	1.99	1.94	2.02	2.15	2.06	2.09	2.199	1.627	1.331	1.391	1.639	1.786	1.835	1.85	1.85	1.85	1.85	1.85	1.85
"Finland"	246	2.997	2.769	2.66	2.191	1.623	1.663	1.685	1.66	1.819	1.743	1.754	1.825	1.85	1.85	1.85	1.85	1.85	1.85	1.85	1.85
"Iceland"	352	3.7	4.023	3.943	3.154	2.843	2.287	2.248	2.116	2.194	2.056	1.993	2.098	2.054	1.978	1.91	1.857	1.85	1.85	1.85	1.85
"Ireland"	372	3.38	3.68	3.979	3.873	3.815	3.478	2.877	2.287	1.969	1.9	1.955	1.959	1.924	1.865	1.85	1.85	1.85	1.85	1.85	1.85
"Latvia"	428	2	1.95	1.85	1.81	2	2	2	2.09	1.627	1.171	1.249	1.395	1.482	1.532	1.582	1.632	1.682	1.732	1.782	1.831
