"country"	"country_code"	"age"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"	"2010-2015"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"
"Afghanistan"	4	"  0"	0.344566899	0.322329271	0.300183434	0.275129762	0.251466843	0.226865663	0.213304304	0.204196367	0.19790412	0.197095078	0.193349751	0.179096058	0.166234202	0.153706219	0.140791024	0.127791633	0.115187797	0.103094893	0.091755732	0.081183837
"Afghanistan"	4	"  1"	0.046868019	0.043767937	0.04065838	0.037069124	0.033654635	0.030071354	0.028097384	0.026733824	0.025802986	0.025683497	0.025134183	0.022997976	0.020952127	0.018636157	0.016473117	0.014400034	0.012465517	0.010661582	0.008959973	0.007446386
"Afghanistan"	4	"  5"	0.014088776	0.013171735	0.012251227	0.011206268	0.010208966	0.009162928	0.008580546	0.008192137	0.007921488	0.007902596	0.007740468	0.007125427	0.006540507	0.005902536	0.005305589	0.004723857	0.004166957	0.003629473	0.003121212	0.002654245
"Afghanistan"	4	" 10"	0.004907702	0.004683868	0.004448793	0.00416813	0.003887713	0.003580219	0.003403569	0.003282594	0.003197549	0.003193011	0.003141756	0.002943254	0.002752767	0.002545976	0.002354256	0.0021617	0.001968641	0.00177811	0.001595593	0.001421879
"Afghanistan"	4	" 15"	0.008522629	0.008079077	0.007624193	0.007094892	0.006578115	0.006023655	0.00570989	0.005497641	0.005349052	0.005340677	0.005251396	0.004908857	0.004593608	0.004280995	0.003959968	0.003631821	0.003306612	0.002985837	0.002678149	0.002387775
"Afghanistan"	4	" 20"	0.011591037	0.010988837	0.010371393	0.009653219	0.008952319	0.008200668	0.007775519	0.007487967	0.007286712	0.007275456	0.007154553	0.006690753	0.006272375	0.005879169	0.00544499	0.004993904	0.004547377	0.00410759	0.00368645	0.003289307
"Afghanistan"	4	" 25"	0.013613261	0.012886548	0.012142146	0.011277346	0.010434275	0.009531176	0.009020874	0.008675831	0.008434457	0.008420341	0.008275376	0.007719446	0.0072206	0.006758092	0.00623682	0.005694072	0.005158777	0.004633883	0.004133085	0.003662477
"Afghanistan"	4	" 30"	0.015441985	0.014607943	0.013754173	0.012762605	0.011796558	0.010762357	0.010178253	0.009783317	0.009507108	0.009490665	0.009324803	0.00868896	0.008120714	0.007599532	0.007005915	0.006386672	0.005776301	0.005178456	0.004608569	0.004073546
"Afghanistan"	4	" 35"	0.018401046	0.017416728	0.016409873	0.015241474	0.014104079	0.012887473	0.012200797	0.011736767	0.011412302	0.011393488	0.01119869	0.010452148	0.009780217	0.009150755	0.008459131	0.007742181	0.00703348	0.006336365	0.005669882	0.005042428
"Afghanistan"	4	" 40"	0.021989905	0.020847694	0.019680395	0.018327494	0.017011901	0.015606214	0.014813437	0.014278194	0.013904003	0.013883824	0.013659233	0.01279915	0.012019688	0.01127473	0.010498233	0.009699343	0.008903471	0.00811268	0.007351064	0.006629131
